,Address,Walk_Score,Transit_Score,Bike_Score
47,"10611 Fawnview Dr, Houston, TX 77070",33,18,40
48,"166 Sweetberry Ct, San Jose, CA 95136",50,50,69
49,"2213 Westland Ave, San Diego, CA 92104",44,30,39
50,"2708 E Mexico Ave, Denver, CO 80210",49,53,70
51,"689 Quincy St #2A, Brooklyn, NY 11221",92,94,62
52,"32 Farmstead Ln, Glen Head, NY 11545",0,0,9
53,"445 Point Lawrence Rd, Olga, WA 98279",16,0,12
54,"620 Hermitage Ln #620, San Jose, CA 95134",36,50,75
55,"7141 Peter Pan Ave, San Diego, CA 92114",25,39,8
56,"3362 Royal Ln, Dallas, TX 75229",48,32,39
57,"8110 Jackman Hill Rd, Ellicottville, NY 14171",0,0,0
58,"4264 Overlook Ct, Gig Harbor, WA 98332",40,0,46
59,"961 14th St, San Diego, CA 92154",79,37,51
60,"27447 145th Ave SE, Kent, WA 98042",25,30,17
61,"635 13th St UNIT 36, San Diego, CA 92154",74,36,66
62,"3403 Westlake Dr, Austin, TX 78746",4,0,1
63,"67 G St SE, Ephrata, WA 98823",42,0,56
64,"923 A St, Vader, WA 98593",10,0,0
65,"2150 Almaden Rd #41, San Jose, CA 95125",33,43,76
66,"3509 Providence Ln, Carlsbad, CA 92010",18,15,21
67,"523 143rd St S, Tacoma, WA 98444",43,0,49
68,"5639 Desert View Dr, La Jolla, CA 92037",28,0,36
69,"9550 Niya Way, Valley Center, CA 92082",1,0,0
70,"5209 Foothill Blvd, San Diego, CA 92109",39,26,44
71,"1110 Hilo Gln, Escondido, CA 92026",59,18,42
72,"1527 Mamie Eisenhower Ave, Boone, IA 50036",46,0,41
73,"259 N Capitol Ave UNIT 225, San Jose, CA 95127",73,53,60
74,"1379 Caminito Arriata, La Jolla, CA 92037",40,26,27
75,"1310 25th Ave N, Fort Dodge, IA 50501",20,17,47
76,"3550 Ruffin Rd UNIT 263, San Diego, CA 92123",42,27,43
77,"3932 9th Ave UNIT 7, San Diego, CA 92103",95,56,67
78,"2445 N Humboldt St, Denver, CO 80205",88,56,98
79,"3217 Columbia St APT 8, San Diego, CA 92103",59,61,31
80,"737 S 2nd St #3, San Jose, CA 95113",0,0,0
81,"1113 152nd Street Ct E, Tacoma, WA 98445",12,0,32
82,"702 W Park Rd, Iowa City, IA 52246",15,23,31
83,"144 Holiday Dr #144, Woodbury, NY 11797",0,0,0
84,"519 Main St, Muscatine, IA 52761",52,25,56
85,"133 Newby Creek Rd #B, Twisp, WA 98856",0,0,2
86,"8451 Westmore Rd APT 110, San Diego, CA 92126",65,32,63
87,"200 Jordan Dr, West Des Moines, IA 50265",53,0,38
88,"967 Catkin Ct, San Jose, CA 95128",33,42,58
89,"1501 Front St UNIT 514, San Diego, CA 92101",98,80,68
90,"1538 Orpheus Ave, Encinitas, CA 92024",7,0,0
91,"1035 Giacomo Ln UNIT 5, San Jose, CA 95131",22,53,67
92,"3740 E Iowa Ave, Denver, CO 80210",89,55,54
93,"519 Cheyenne Ln, San Jose, CA 95123",43,44,62
94,"801 S Winchester Blvd APT 2303, San Jose, CA 95128",76,40,67
95,"7546 43rd Ave S #B, Seattle, WA 98118",80,65,81
96,"456 E Handsome Brook Rd, Franklin, NY 13775",0,0,2
97,"984 La Barbera Dr, San Jose, CA 95126",64,47,80
98,"5889 Bates Rd E, Odessa, WA 99159",0,0,25
99,"4644 Natalee Dr SE, Lacey, WA 98503",33,35,0
100,"16910 NE 13th Ave, Ridgefield, WA 98642",7,0,0
101,"354 Neptune Ave, Encinitas, CA 92024",64,32,36
102,"15207 SE 24th St, Vancouver, WA 98683",53,40,56
103,"372 La Veta Ave, Encinitas, CA 92024",71,33,55
104,"3249 Kingsbridge Ave, Bronx, NY 10463",97,85,62
105,"1888 S Jackson St APT 1001, Denver, CO 80210",55,57,74
106,"525 Lombard St, North Babylon, NY 11703",60,0,0
107,"846 Clark Ave, Encinitas, CA 92024",40,0,0
108,"1534 Orpheus Ave, Encinitas, CA 92024",8,23,17
109,"728-730 Bush St, San Diego, CA 92103",90,51,69
110,"120 S Cardinal Dr APT 10, Clarinda, IA 51632",35,0,27
111,"213 Huguenot St, New Paltz, NY 12561",20,0,0
112,"7008 Ballinger Ave, San Diego, CA 92119",29,24,29
113,"1414 June Ave, San Jose, CA 95122",66,48,47
114,"2300 E Valley Pkwy SPACE 121, Escondido, CA 92027",62,36,63
115,"11320 Ironwood Rd, San Diego, CA 92131",21,14,33
116,"2268 Berkeley Way, San Jose, CA 95116",53,53,58
117,"119 10th St, Del Mar, CA 92014",59,0,33
118,"6454 E Bates Ave, Denver, CO 80222",68,52,78
119,"2484 Aperture Cir, San Diego, CA 92108",22,37,16
120,"26 Bellas Way, Poughkeepsie, NY 12601",79,0,54
121,"4969 Elsa Rd, San Diego, CA 92120",43,38,22
122,"1050 S Monaco Pkwy UNIT 82, Denver, CO 80224",81,41,79
123,"1304 S Parker Rd APT 160, Denver, CO 80231",67,40,67
124,"303 S Sampson St, Ellensburg, WA 98926",74,0,0
125,"2084 Wedgewood Dr, Asbury, IA 52002",0,0,5
126,"2020 N Ogden St, Denver, CO 80205",89,70,96
127,"1908 W Park Ave, Orange, TX 77630",36,0,51
128,"2325 Vogel Ln, Brookshire, TX 77423",1,0,26
129,"221 W Pearl St, Granbury, TX 76048",64,0,0
130,"4872 Mount Alifan Dr, San Diego, CA 92111",54,38,45
131,"410 Fieldstone Ln, Venus, TX 76084",14,0,0
132,"700 Habor St #506, San Diego, CA 92101",0,0,0
133,"2103 N Oakes St UNIT D, Tacoma, WA 98406",72,0,71
134,"1646 Arequipa St, San Diego, CA 92154",34,32,42
135,"1675 Golf Course Blvd LOT 55, Independence, IA 50644",3,0,29
136,"17 Kirkdale Cir, Rochester, NY 14612",4,0,0
137,"2608 E Cherry St, Seattle, WA 98122",86,58,98
138,"5823 S Fm 565 Rd, Baytown, TX 77523",17,0,28
139,"1735 19th St UNIT 6B, Denver, CO 80202",89,93,93
140,"301 Merrifield Ave, Oceanside, NY 11572",66,35,53
141,"118 13th Ave E, Oskaloosa, IA 52577",27,0,66
142,"4657 Altadena Ave, San Diego, CA 92115",69,48,65
143,"266 N Willowlawn Pkwy, Cheektowaga, NY 14206",47,37,48
144,"4-4A Red Hawk Rd #11, Huntsville, TX 77340",0,0,0
145,"910 Ildflower St, Ennis, TX 75119",10,0,30
146,"729 20th St, West Des Moines, IA 50265",39,0,38
147,"1105 Bonner St, Houston, TX 77007",79,46,65
148,"911 Westmoreland Dr, Prosper, TX 75078",2,0,26
149,"1191 Baptist Church Rd, Yorktown Heights, NY 10598",3,0,4
150,"5596 Dwight Ave, San Jose, CA 95118",50,30,47
151,"Edmon Plan, Southbridge Farms",0,0,0
152,"10255 Spruce Woodlands Way, Escondido, CA 92026",14,0,0
153,"2617 S Acoma St, Denver, CO 80223",62,58,65
154,"2836 County Road 304, Rainbow, TX 76077",0,0,12
155,"1386 Wilson Ave, Blaine, WA 98230",4,0,0
156,"1020 Grand Concourse APT 9V, Bronx, NY 10451",0,100,0
157,"7784 Lookout Dr, La Jolla, CA 92037",60,33,44
158,"1281 State Route 505, Toledo, WA 98591",21,0,12
159,"26223 14th Pl S, Des Moines, WA 98198",11,0,19
160,"1332 Ashland Ave, Niagara Falls, NY 14301",72,35,58
161,"395 Carlsbad Village Dr, Carlsbad, CA 92008",95,36,77
162,"3020 S Newport St, Denver, CO 80224",55,44,74
163,"4401 NE 179th St, Vancouver, WA 98686",1,0,22
164,"1452 Branham Ln, San Jose, CA 95118",69,26,70
165,"9805 W Wagon Trail Dr, Denver, CO 80123",50,25,58
166,"28201 176th Pl SE, Kent, WA 98042",0,23,17
167,"14019 Windy Stream Ln, Houston, TX 77044",7,0,31
168,"101 W 12th St APT 8O, New York, NY 10011",0,100,0
169,"2953 W Canyon Ave, San Diego, CA 92123",36,27,52
170,"851 Thornberry Dr, Somerville, TX 77879",3,0,27
171,"6645 Bunker Hill Ct, San Jose, CA 95120",64,27,71
172,"2983 Oneida St, Sauquoit, NY 13456",12,0,17
173,"8975 Lawrence Welk Dr SPACE 69, Escondido, CA 92026",5,0,5
174,"522 Valley Creek Rd, Rochester, NY 14624",5,19,0
175,"3027 Keats St #X, San Diego, CA 92106",78,32,70
176,"1408 Bouret Dr, San Jose, CA 95118",38,30,45
177,"1076 Rymar Ter, San Jose, CA 95133",62,50,75
178,"10470 Caminito Rimini, San Diego, CA 92129",14,39,24
179,"0 Riverside Rd, Washington, IA 52353",78,0,58
180,"2843 Louisiana St, Longview, WA 98632",47,25,0
181,"1440 Greenbrook Dr, Rockwall, TX 75032",6,0,0
182,"22 Ronek Dr, Amityville, NY 11701",48,0,0
183,"1257 Dos Hermanos Gln, Escondido, CA 92027",13,26,21
184,"51 S 19th St, San Jose, CA 95116",80,56,87
185,"3776 Alabama St UNIT 307, San Diego, CA 92104",91,56,45
186,"18 Bamboo Ln, Hicksville, NY 11801",65,38,52
187,"6282 Lake Leven Dr, San Diego, CA 92119",28,25,29
188,"3490 Sweigert Rd, San Jose, CA 95132",9,28,19
189,"7241 San Luis St #185, Carlsbad, CA 92011",66,51,50
190,"4157 High St, West Des Moines, IA 50265",1,0,1
191,"1769 Ledgewood Dr, San Jose, CA 95124",81,32,66
192,"1411-1413 Oliver Ave, San Diego, CA 92109",82,45,69
193,"119 Cross Timbers St, Lufkin, TX 75904",9,0,27
194,"1649 Canal Dr, Bay City, TX 77414",0,0,23
195,"115 215th St SE #6, Bothell, WA 98021",10,23,16
196,"6956 Calabazas Creek Cir, San Jose, CA 95129",22,25,50
197,"791 Villa Teresa Way UNIT 791, San Jose, CA 95123",48,28,73
198,"2525 S Dayton Way APT 1003, Denver, CO 80231",53,42,65
199,"804 Caminito Azul, Carlsbad, CA 92011",30,31,0
200,"10853 Lamentin Ct, San Diego, CA 92124",41,18,51
201,"102 3rd Ave, Royal, IA 51357",35,0,37
202,"4524 Danielle Gardens Ln, Conroe, TX 77304",29,0,32
203,"12 Torregata Loop, San Jose, CA 95134",55,42,74
204,"10225 Powell Ave, Johnston, IA 50131",6,0,40
205,"7683 Mission Gorge Rd UNIT 164, San Diego, CA 92120",29,18,14
206,"Vail Plan, Kipling Park West: Paired Homes",52,27,67
207,"184 Aspen Dr, Norwalk, IA 50211",7,0,14
208,"1718 5th Ave NE, Olympia, WA 98502",48,40,83
209,"434 Jolina Way, Encinitas, CA 92024",71,0,0
210,"14634 SE 140th St, Renton, WA 98059",2,18,0
211,"Ruby Plan, Heritage at Grimes",10,0,32
212,"7359 Alicante Rd, Carlsbad, CA 92009",19,24,0
213,"25 Whooping Hollow Rd, East Hampton, NY 11937",2,0,20
214,"0 Highway 94, Groveton, TX 75845",28,0,37
215,"2606 Lummi View Dr, Bellingham, WA 98226",1,18,33
216,"3007 Central Ave, San Diego, CA 92105",46,39,17
217,"172 W Lake Rd, Branchport, NY 14418",18,0,25
218,"1150 J St UNIT 222, San Diego, CA 92101",98,80,87
219,"233 S Lincoln St, Denver, CO 80209",95,64,97
220,"1074 Villa Maria Ct, San Jose, CA 95125",67,52,97
221,"4720 W 12th St, Davenport, IA 52804",8,0,25
222,"741 S 3rd St, San Jose, CA 95112",86,57,95
223,"12720 159th St E, Puyallup, WA 98374",4,0,0
224,"23929 113th Ave E LOT 7, Graham, WA 98338",0,0,26
225,"839 Oak Hill Ave, Endicott, NY 13760",22,0,0
226,"3209 S 144th St, Tukwila, WA 98168",40,55,30
227,"177 Main St, Richville, NY 13681",9,0,25
228,"4602 Cole Ct SE, Olympia, WA 98501",15,27,0
229,"557 S Pearl St, Denver, CO 80209",84,64,92
230,"189 E 7th St, New York, NY 10009",99,100,91
231,"8666 Lake Rd, Chittenango, NY 13037",10,0,33
232,"Oliver Plan, The Hub at Virginia Village",60,32,85
233,"Residence 3 Plan, Asana",0,0,0
234,"22 Lombard St, Schenectady, NY 12304",19,0,0
235,"Plan 6 Plan, Atwood at 3Roots",28,12,20
236,"119 Brettonwood Dr, San Antonio, TX 78218",78,38,63
237,"1413 N 6th St, Tacoma, WA 98403",71,0,62
238,"815 S Umatilla Way, Denver, CO 80223",58,42,65
239,"887 Bogart Rd, Palenville, NY 12463",0,0,3
240,"3646 Jasmine Cir, San Jose, CA 95135",11,23,26
241,"LOT 56 Welcome Vw, Escondido, CA 92026",0,0,0
242,"1350 N Escondido Blvd UNIT 7, Escondido, CA 92026",73,27,63
243,"1075 Sunset Crossing Poin, San Diego, CA 92154",6,22,2
244,"10707 60th Street Ct E #151, Puyallup, WA 98372",22,0,29
245,"388 Windermere Blvd, Amherst, NY 14226",67,44,0
246,"5322 Ingersoll Ave APT B-5, Des Moines, IA 50312",31,21,28
247,"27711 Sharp Rd, Katy, TX 77493",0,0,25
248,"2441 Linda Ct, Escondido, CA 92027",54,35,54
249,"3611 Wilson Ave, San Diego, CA 92104",51,50,39
250,"308 Hawthorne St, Kelso, WA 98626",16,0,0
251,"2630 S Garfield Way, Denver, CO 80210",67,49,83
252,"9 Jamaica Ln #9, Escondido, CA 92025",25,0,0
253,"9 W 19th St, Huntington Station, NY 11746",75,0,0
254,"164-05 65th Ave #1, Fresh Meadows, NY 11365",0,0,0
255,"2151 Oakland Rd SPC 79, San Jose, CA 95131",25,41,51
256,"1865 Soaring Eagle Dr, Fischer, TX 78623",4,0,1
257,"174 Aspen Dr, Norwalk, IA 50211",7,0,14
258,"12015 Soft Pines Dr, Houston, TX 77066",8,16,29
259,"5688 Brook View Ave, Des Moines, IA 50317",7,0,24
260,"711 352nd Pl, Ocean Park, WA 98640",0,0,23
261,"0 County Road 230 Canal Dr, Bay City, TX 77414",0,0,25
262,"4140 Yates St, Denver, CO 80212",82,40,70
263,"360 W 7th Ave, Escondido, CA 92025",90,48,54
264,"1015 S Downing St, Denver, CO 80209",53,55,82
265,"545 Jackson St, Denver, CO 80206",73,45,73
266,"11 S Gilmore Blvd, Wappingers Falls, NY 12590",39,0,38
267,"LOT 6 High Mdw, Trinity, TX 75862",1,0,25
268,"342 N 6th St, San Jose, CA 95112",80,67,96
269,"711 Elm St, Harlan, IA 51537",40,0,29
270,"12 W Jefferson Rd, Pittsford, NY 14534",42,0,0
271,"2418 Wightman St, San Diego, CA 92104",90,56,63
272,"1674 Hilcorte Dr, Escondido, CA 92026",13,22,35
273,"809 6th Ave, Council Bluffs, IA 51501",76,0,65
274,"3502 Herron Ct, San Antonio, TX 78217",41,38,43
275,"41920 Vernon Rd, Loon Lake, WA 99148",6,0,0
276,"One Plan, Luxe at Central Park",0,100,0
277,"4200 W 17th Ave UNIT 611, Denver, CO 80204",72,46,94
278,"3056-3162 Carlsbad Blvd, Carlsbad, CA 92008",85,34,0
279,"1530 Ionian St, San Diego, CA 92154",60,37,48
280,"36 N Emerson St APT 303, Denver, CO 80218",81,51,94
281,"2767 W 15th St #1-6, Brooklyn, NY 11224",0,0,0
282,"35 SE Melrose Dr, Waukee, IA 50263",39,0,61
283,"1450 Wynkoop St APT 3G, Denver, CO 80202",89,90,91
284,"61 Bridle Path, Albany, NY 12205",14,31,23
285,"7236 San Benito St, Carlsbad, CA 92011",72,49,38
286,"620 E 2nd Ave, Escondido, CA 92025",79,40,0
287,"2126 Singingwood Pl, Escondido, CA 92029",2,21,1
288,"2959 Vanport Dr, San Jose, CA 95122",67,40,64
289,"2468 W 3rd St, Brooklyn, NY 11223",92,80,62
290,"LOT Twelve South Camano Dr, Camano Island, WA 98282",0,0,17
291,"39 Longkill Rd, Ballston Lake, NY 12019",9,0,28
292,"7426 S Prospect St, Tacoma, WA 98409",48,0,52
293,"Plan 1 Plan, Palmer at 3 Roots",28,12,20
294,"Zenith Plan, Green Valley Ranch",60,32,57
295,"8917 Trone Cir APT A, Austin, TX 78758",59,44,68
296,"5653 Leyden Ave, Des Moines, IA 50317",18,33,25
297,"407 Beechwood Ave, Liverpool, NY 13088",56,0,37
298,"3204 Alderwood Ave, Bellingham, WA 98225",16,29,53
299,"815 Montview Dr, Escondido, CA 92025",58,28,41
300,"1130 Rosemary Street, Denver, CO 80220",53,50,79
301,"1205 Marlee Cir, Copperas Cove, TX 76522",6,0,21
302,"7115 N Greenwood Pl, Spokane, WA 99208",12,24,29
303,"1820 Teresa St, Olympia, WA 98501",10,28,36
304,"6813 Live Oak Dr, Lago Vista, TX 78645",8,0,4
305,"305 NE Bel Aire Rd, Ankeny, IA 50021",64,0,49
306,"25 Tudor City Pl #1212/1214, New York, NY 10017",0,100,0
307,"7506 Krypton Dr, Corpus Christi, TX 78414",1,0,25
308,"26221 Landsburg Rd SE, Ravensdale, WA 98051",4,0,2
309,"4574 S Kipling Cir, Littleton, CO 80123",52,27,66
310,"2018-2020 Euclid Ave, Schenectady, NY 12306",70,28,46
311,"950 Black Bear Bnd, North Liberty, IA 52317",30,0,38
312,"6800 E Tennessee Ave APT 421, Denver, CO 80224",75,42,65
313,"4718 1/2 Oregon St, San Diego, CA 92116",0,0,0
314,"1652 Canal Dr, Bay City, TX 77414",0,0,23
315,"889 Date St UNIT 414, San Diego, CA 92101",92,76,49
316,"1300 Mount Baker St, Othello, WA 99344",14,0,42
317,"2825 George W Carver Ave, Ames, IA 50010",46,0,85
318,"4200 W 17th Ave UNIT 239, Denver, CO 80204",72,46,94
319,"2916 Cornell Ave, Iowa City, IA 52245",32,25,61
320,"3055 Monaco Pkwy, Denver, CO 80207",33,47,69
321,"10150 E Virginia Ave UNIT 3-206, Denver, CO 80247",52,39,71
322,"7121 Bronington Dr SW, Olympia, WA 98512",17,0,39
323,"6866 Trinidad Dr, San Jose, CA 95120",19,25,65
324,"3339 N Williams St, Denver, CO 80205",85,56,95
325,"1255 29th St NE, Cedar Rapids, IA 52402",43,21,51
326,"503 Huckleberry Dr, Lake Jackson, TX 77566",18,0,0
327,"5621 36th Ave E, Tacoma, WA 98443",5,0,5
328,"4541 Hartford Dr, Plano, TX 75093",54,33,63
329,"294 Manor Blvd, Pearl River, NY 10965",45,0,46
330,"105 N Fillmore St UNIT 202, Denver, CO 80206",94,42,92
331,"84 Rancho Dr UNIT D, San Jose, CA 95111",64,53,65
332,"75 Hobson St APT 4A, San Jose, CA 95110",77,57,87
333,"16704 NE 29th Ave, Ridgefield, WA 98642",1,0,21
334,"7204 Franklin Ave, Windsor Heights, IA 50324",42,0,39
335,"460 Old Country Rd, Deer Park, NY 11729",45,0,41
336,"7338 Turnford Dr, San Diego, CA 92119",11,27,18
337,"470 Mud Hen Loop SE, Ocean Shores, WA 98569",2,0,0
338,"3091 S Josephine St, Denver, CO 80210",50,34,56
339,"3725 Henry Hudson Pkwy W #12FG, Bronx, NY 10463",90,74,49
340,"11919 Silver Coins, San Antonio, TX 78254",8,0,0
341,"1549 N Vulcan Ave SPACE 53, Encinitas, CA 92024",54,26,58
342,"12 Saddle Ln, New City, NY 10956",17,0,0
343,"153 The Knl #153, Syosset, NY 11791",0,0,0
344,"8975 Lawrence Welk Dr SPACE 284, Escondido, CA 92026",5,0,5
345,"10896 Caminito Arcada, San Diego, CA 92131",40,14,36
346,"4842 Steele St, Denver, CO 80216",43,47,62
347,"625 Jefferson St, Pittsburg, TX 75686",15,0,22
348,"4402 Palmyra Dr, Pasco, WA 99301",6,0,0
349,"3805 10th St, Des Moines, IA 50313",71,34,48
350,"31027 N Cleveland Rd, Deer Park, WA 99006",6,0,27
351,"7284 Via Brezzo, San Jose, CA 95120",5,17,3
352,"0 4th Pl, Escondido, CA 92029",14,21,17
353,"18 Forest Rd, Utica, NY 13501",14,0,15
354,"2867 Spring Rose Cir, Coralville, IA 52241",21,23,38
355,"34 Carley Ave, Huntington, NY 11743",69,0,0
356,"251 Lea Ln, Wimberley, TX 78676",16,0,27
357,"3531 Don Carlos Dr, Carlsbad, CA 92010",4,24,30
358,"5562 Flanders St, Denver, CO 80249",5,32,42
359,"16015 Bolling Dr, Denver, CO 80239",26,41,39
360,"26210 233rd Ct SE, Maple Valley, WA 98038",39,26,49
361,"7277 Eckstrom Ave, San Diego, CA 92111",60,35,65
362,"133 N Delaware Ave, Lindenhurst, NY 11757",46,0,0
363,"1705 Newport St, Denver, CO 80220",68,52,59
364,"1625 Larimer St APT 1402, Denver, CO 80202",94,90,91
365,"175 Avenue T, Brooklyn, NY 11223",93,84,62
366,"1300 S Parker Rd APT 399D, Denver, CO 80231",65,39,68
367,"5865 Friars Rd APT 3312, San Diego, CA 92110",43,47,64
368,"1625 Larimer St APT 1101, Denver, CO 80202",94,90,91
369,"2679 Alta View Dr, San Diego, CA 92139",51,32,30
370,"3215 W Exposition Ave, Denver, CO 80219",73,48,62
371,"8866 Mulberry Ln, Manlius, NY 13104",5,0,0
372,"8606 E 50th Ave, Denver, CO 80238",48,37,74
373,"527 Highview St, Nevada, IA 50201",16,0,0
374,"3410 Story Ln, San Jose, CA 95127",6,20,18
375,"907 Sapphire Dr, Princeton, TX 75407",2,0,23
376,"250 Throggs Neck Blvd, Bronx, NY 10465",0,49,0
377,"103 Carson Ave, Iowa Falls, IA 50126",24,0,34
378,"1415 E Harrison St, Seattle, WA 98112",98,73,89
379,"450 Fontanelle Dr, San Jose, CA 95111",27,28,49
380,"4462 32nd St, Grinnell, IA 50112",1,0,21
381,"2164 Page Creek Trl, Longview, TX 75601",3,0,25
382,"47 Country Greens Dr, Bellport, NY 11713",14,0,35
383,"1003 Clark Ave, San Antonio, TX 78210",31,38,27
384,"10621 Addison St SW, Lakewood, WA 98499",74,0,0
385,"1521 Shumaker Way, San Jose, CA 95131",47,49,61
386,"589 N Lafayette St, Denver, CO 80218",89,46,84
387,"8715 Potrero St, San Diego, CA 92114",67,0,27
388,"2636 S Federal Blvd, Denver, CO 80219",56,46,74
389,"6240 E Florida Ave, Denver, CO 80224",48,36,75
390,"12732 28th Pl W #A & B, Everett, WA 98204",45,41,47
391,"Cadence 4 Plan, Cadence Townhomes Portfolio at Central Park",46,23,43
392,"12530 Heatherton Ct UNIT 31, San Diego, CA 92128",30,24,25
393,"18135 Moon Song Ct, San Diego, CA 92127",9,19,15
394,"206 S Benge St, McKinney, TX 75069",84,0,0
395,"2717 Angell Ave, San Diego, CA 92122",18,21,26
396,"1914 E 14th St, Davenport, IA 52803",64,0,0
397,"50848 740th St, Anita, IA 50020",0,0,2
398,"4774 Vine St, Denver, CO 80216",57,35,79
399,"2838 Tan Tam Dr, Escondido, CA 92029",1,0,0
400,"1076 Highway 6, West Liberty, IA 52776",67,0,49
401,"6921 Corral Dr, Midland, TX 79705",0,0,27
402,"409 Iowa St, Hills, IA 52235",14,0,28
403,"2954 S Wabash St, Denver, CO 80231",22,34,67
404,"613 Juarez St, Wichita Falls, TX 76301",26,0,60
405,"2606 Knollcrest Dr, Burlington, IA 52601",74,19,32
406,"220 Micah Ln, Ferris, TX 75125",13,0,21
407,"8 Julien Dubuque Dr, Dubuque, IA 52003",7,19,37
408,"22310 Bridgestone Palm Ct, Spring, TX 77388",19,0,0
409,"1512 Optimum Dr, Edinburg, TX 78539",16,0,37
410,"6624 N Ceylon St, Denver, CO 80249",14,17,41
411,"2889 B St, San Diego, CA 92102",83,42,64
412,"215 Broad St, Grinnell, IA 50112",58,0,66
413,"6457 N Ceylon St, Denver, CO 80249",10,17,37
414,"4626 Humphrey Rd, Great Valley, NY 14741",0,0,0
415,"1731 Marseilles Ct, San Jose, CA 95138",0,0,11
416,"1015 Gardena Rd, Encinitas, CA 92024",68,28,40
417,"319 Rosecrans St, San Diego, CA 92106",13,18,13
418,"188 W Saint James St #10317, San Jose, CA 95110",86,69,90
419,"0 Marigold Blvd, Fairfield, IA 52556",31,0,55
420,"631 Bethel Rd, Postville, IA 52162",0,0,15
421,"1516 Optimum Dr, Edinburg, TX 78539",16,0,37
422,"301 Niemi Rd, Longview, WA 98632",0,0,0
423,"7625 E Quincy Ave APT 203, Denver, CO 80237",39,45,68
424,"1008 N Corona St APT 303, Denver, CO 80218",91,50,96
425,"343 Leigh Ave, San Jose, CA 95128",87,47,74
426,"26121 E Wellesley Ave, Newman Lake, WA 99025",8,0,41
427,"1750 Wewatta St UNIT 1126, Denver, CO 80202",91,85,90
428,"620 W Boone St, Marshalltown, IA 50158",63,21,52
429,"2270 Juan St, San Diego, CA 92103",69,58,40
430,"116 W 3rd St, Spencer, IA 51301",70,0,0
431,"105 Vaughn Ave, New Rochelle, NY 10801",67,48,0
432,"2002 Canal Dr, Bay City, TX 77414",0,0,23
433,"823 Kalpati Cir UNIT 103, Carlsbad, CA 92008",39,26,0
434,"131 Lathers Rd, Fultonville, NY 12072",0,0,16
435,"7009 Windward St, San Diego, CA 92114",35,40,20
436,"6311 Tamoshan Dr NW, Olympia, WA 98502",5,0,29
437,"1410 Greenwood Dr, Denton, TX 76209",44,27,52
438,"16223 128th Pl SE, Renton, WA 98058",16,27,29
